,PSRJ,F0,F1,RAJD,DECJD,DIST,gamma,n
6,J0023+0923,327.8470205611185,-1.227834e-15,0.10158372821197098,0.1638858202954437,1.8181686000541093,3.4843833650001873e-23,3
36,J0030+0451,205.53069910059,-4.297e-16,0.13289420831820264,0.08484107642011118,0.32362224272807777,4.949202860657011e-23,3
144,J0340+4130,303.0909794113198,-6.4737e-16,0.9616246226172502,0.7245312665813728,1.603,2.325056636705202e-23,3
283,J0613-0200,326.600561967271,-1.022991e-15,1.6307174716882054,-0.03513559935712743,0.95,2.9364393139394155e-23,3
309,J0636+5128,348.5592316999902,-4.1895e-16,1.7282285070107348,0.8985535004499537,0.7142805214498288,9.893100611303973e-24,3
314,J0645+5158,112.94972319066427,-6.2782e-17,1.771442485643076,0.907061723329501,1.2195033293045858,4.356920483128286e-23,3
350,J0740+6620,346.5319964932129,-1.46389e-15,2.0104588831631287,1.1578975476660915,1.15,3.5178589476532757e-23,3
450,J0931-1902,215.6088104676294,-1.6868e-16,2.4928476566676516,-0.33246117855055835,3.722,1.6829223640029768e-23,3
490,J1012+5307,190.2678373613727,-6.2003e-16,2.672785450590217,0.9270716246070122,0.7,9.001534649781999e-23,3
514,J1024-0719,193.7156834116254,-6.96131e-16,2.725525819126331,-0.12779459335700466,1.22,9.576275349549451e-23,3
603,J1125+7819,238.004053174088,-3.9329e-16,2.993229247779284,1.3671197926459882,0.903,2.917157278106078e-23,3
933,J1453+1902,172.642909924795,-3.474e-16,3.8997722720911105,0.332253004444418,1.269,6.751240382179924e-23,3
936,J1455-3330,125.2002451675204,-3.80975e-16,3.9086626902874624,-0.5849102504432496,0.684,1.94124763567155e-22,3
1115,J1600-3053,277.9377069492822,-7.33846e-16,4.192564674813202,-0.5392553561549829,1.886778735905208,3.41792493824329e-23,3
1168,J1614-2230,317.3789419337929,-9.69443e-16,4.2525315902403555,-0.3928508488318936,0.7,3.0324102446796663e-23,3
1295,J1640+2224,316.12398422451724,-2.81542e-16,4.3645407643506875,0.390996501493604,1.515140500045091,8.911911206713654e-24,3
1310,J1643-1224,216.3733370950632,-8.64392e-16,4.379188278462575,-0.21670530848694497,0.74,8.532956059471889e-23,3
1475,J1713+0747,218.811840394717,-4.08387e-16,4.510914910274086,0.13602648045441196,1.3106064613758326,3.8981581272591265e-23,3
1612,J1738+0333,170.93736991146392,-7.04774e-16,4.620320378054875,0.06201187154863972,1.470577544161412,1.4110383633406986e-22,3
1638,J1741+1351,266.8691669720664,-2.151992e-15,4.631750659688863,0.24194197080126767,1.6666545500496004,1.1322581425258857e-22,3
1663,J1744-1134,245.4261196602377,-5.38155e-16,4.644714495336174,-0.20214170040872073,0.395,3.6403658929534645e-23,3
1694,J1747-4036,607.6775384652,-4.853e-15,4.659208534877561,-0.7088693200253183,7.149,2.1626724096574014e-23,3
2116,J1832-0836,367.7671211299739,-1.11907e-15,4.854021844329516,-0.15036511850124293,2.083318187562001,2.2497722360550094e-23,3
2401,J1853+1303,244.391377738396,-5.2065e-16,4.947813315822921,0.22797903627099111,2.083318187562001,3.566877823255305e-23,3
2457,J1857+0943,186.4940783438289,-6.20476e-16,4.963744691197485,0.16967118989842322,1.2,9.565988366863145e-23,3
2536,J1903+0327,465.135238339217,-4.0719e-15,4.987699631911794,0.060306987587103754,7.0,4.0463120835490704e-23,3
2650,J1909-3744,339.3156871298895,-1.614814e-15,5.016907638942787,-0.6586415880186686,1.14,4.1334309894256825e-23,3
2664,J1910+1256,200.658805294298,-3.89748e-16,5.018527023431137,0.22585267415329033,1.496,4.8240214339402204e-23,3
2686,J1911+1347,216.171230573016,-7.90875e-16,5.026199342637419,0.24073113149249398,1.365,7.829141872154264e-23,3
2767,J1918-0642,130.78951613875947,-4.39475e-16,5.056221160946218,-0.11710623855755001,1.1111030333664003,1.9643341889484195e-22,3
2806,J1923+2515,263.9807142255208,-6.65848e-16,5.07618037366095,0.44089240398077734,1.201,3.619582676035249e-23,3
2932,J1939+2134,641.928222127829,-4.330987e-14,5.147162118694286,0.37669599101009377,3.5,1.6372970188068222e-22,3
2958,J1944+0907,192.8565208431179,-6.44814e-16,5.1668529983595075,0.15922752830416703,1.218,8.989415923032404e-23,3
2974,J1946+3417,315.443563681749,-3.148e-16,5.17672860861276,0.5984282973562637,6.94,1.0029278984589769e-23,3
3028,J1955+2908,163.0479129097612,-7.9062e-16,5.216198175505532,0.5086831946878192,6.304,1.8239883676109836e-22,3
3081,J2010-1323,191.4509120380344,-1.76854e-16,5.28296043353649,-0.2338551489064484,2.4390066586091717,2.5202438762597838e-23,3
3091,J2017+0603,345.2781364654948,-9.5291e-16,5.31181534159616,0.1056194366044403,1.399,2.3149661627096025e-23,3
3130,J2033+1734,168.0966779772235,-3.1496e-16,5.381978021386347,0.30687965527134115,1.74,6.630984451031274e-23,3
3145,J2043+1711,420.189443214863,-9.25931e-16,5.425129094925024,0.300045903900515,1.3888787917080003,1.2480822687322145e-23,3
3234,J2145-0750,62.29588783082522,-1.156186e-16,5.697806140762895,-0.13680712370266496,0.7142805214498288,4.78244040815304e-22,3
3261,J2214+3000,320.5922923290326,-1.51379e-15,5.8234984835674615,0.5237840041179602,0.6,4.5941630172483865e-23,3
3275,J2229+2643,335.8162133708968,-1.7183e-16,5.889823233447431,0.4665733375827187,1.8,4.5372635817132975e-24,3
3278,J2234+0611,279.5965821510426,-9.392e-16,5.909617440455426,0.10805860066743093,0.9708667281842333,4.296971857300998e-23,3
3279,J2234+0944,275.7078326240928,-1.52788e-15,5.9113467733992495,0.17002530995025925,1.587,7.290241804727034e-23,3
3299,J2302+4442,192.5919636477142,-5.1439e-16,6.03352883609545,0.7802693020540892,0.863,7.200754980493867e-23,3
3311,J2317+1439,290.25460815391,-2.0477e-16,6.096234025495883,0.25584237154523837,1.6666545500496004,8.373922939240102e-24,3
3315,J2322+2057,207.96816335831227,-4.178455630932531e-16,6.11900328691079,0.36565945772468267,1.011,4.645422570451267e-23,3
